,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X221,X221,116,27455,26758,2267,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,221,215
X229,X229,124,24841,24841,2293,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,229,223
X14,X14,8,35367,30060,2447,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,14,8
X88,X88,43,49073,47384,2484,Neustadt-Glewe,Production,Production,direct,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,88,82
X227,X227,122,35043,34847,2551,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,227,221
X230,X230,125,30265,29522,2564,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,230,224
X136,X136,51,42825,42629,2574,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,136,130
B2,B2,NA,34502,33875,2612,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B2,263
X133,X133,48,34658,34620,2619,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,133,127
X79,X79,34,45629,42819,2732,Bad Blumau,Middle,HeatCentral,spores,47,1200,4.07,9.08,538.24,10.25,NA,15.44,6.28,1.29,0.63,NA,NA,7.51,0.84,1.38,0,0,4.59,0.7,79,73
X45,X45,15,54013,49392,2732,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,45,39
X174,X174,89,22855,22067,2747,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,174,168
